Model,Accuracy,Precision,Recall,F1
RandomForest,0.4975369458128079,0.5178571428571429,0.1407766990291262,0.22137404580152673
LogisticRegression,0.5098522167487685,0.6129032258064516,0.09223300970873786,0.16033755274261605
SVM,0.4802955665024631,0.48366013071895425,0.3592233009708738,0.41225626740947074
LightGBM,0.5172413793103449,0.5806451612903226,0.17475728155339806,0.26865671641791045
XGBoost,0.49507389162561577,0.5061728395061729,0.19902912621359223,0.2857142857142857
