feature
returns
high_low_pct
close_open_pct
ma_5
ma_ratio_5
ma_10
ma_ratio_10
ma_20
ma_ratio_20
ma_50
ma_ratio_50
rsi
bb_upper
bb_lower
bb_ratio
volume_sma
volume_ratio
volatility
