Model,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_AUC
LightGBM,0.5655172413793104,0.5857142857142857,0.5466666666666666,0.5655172413793104,0.5196190476190476,0.48753462603878117,0.5094339622641509,0.2887700534759358,0.36860068259385664,0.48822914745835644
XGBoost,0.5517241379310345,0.5694444444444444,0.5466666666666666,0.5578231292517006,0.5714285714285715,0.46537396121883656,0.4727272727272727,0.27807486631016043,0.3501683501683502,0.49674227057594206
RandomForest,0.5241379310344828,0.5454545454545454,0.48,0.5106382978723404,0.511047619047619,0.49584487534626037,0.5268817204301075,0.2620320855614973,0.35,0.4850021513307517
LogisticRegression,0.5448275862068965,0.5652173913043478,0.52,0.5416666666666666,0.5857142857142857,0.48753462603878117,0.5108695652173914,0.25133689839572193,0.33691756272401435,0.4744606306472432
SVM,0.5172413793103449,0.5172413793103449,1.0,0.6818181818181818,0.49333333333333335,0.518005540166205,0.518005540166205,1.0,0.6824817518248175,0.494468006638392
VotingSoft,0.5448275862068965,0.5652173913043478,0.52,0.5416666666666666,0.5453333333333333,0.4792243767313019,0.49504950495049505,0.26737967914438504,0.3472222222222222,0.48915114635195767
Stacking,0.45517241379310347,0.47435897435897434,0.49333333333333335,0.48366013071895425,0.46076190476190476,0.5373961218836565,0.5375939849624061,0.7647058823529411,0.6313465783664459,0.508543856414039
