Date,Close,High,Low,Open,Volume,RSI,Target
,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,
2020-01-14,8827.7646484375,8879.51171875,8140.93310546875,8140.93310546875,44841784107,79.41773074396407,0
2020-01-15,8807.0107421875,8890.1171875,8657.1875,8825.34375,40102834650,78.57464982224246,0
2020-01-16,8723.7861328125,8846.4609375,8612.095703125,8812.4814453125,31313981931,75.1303283946377,1
2020-01-17,8929.0380859375,8958.1220703125,8677.31640625,8725.2099609375,36372139320,77.72380559824397,1
2020-01-18,8942.80859375,9012.1982421875,8827.33203125,8927.2119140625,32337772627,77.89039246457709,0
2020-01-19,8706.2451171875,9164.3623046875,8620.080078125,8941.4453125,34217320471,68.42388254278823,0
2020-01-20,8657.642578125,8745.5908203125,8560.4736328125,8704.6318359375,26422375678,66.6320993992178,1
2020-01-21,8745.89453125,8755.7060546875,8544.5205078125,8658.9912109375,24097418512,68.25753025023471,0
2020-01-22,8680.8759765625,8792.994140625,8636.7470703125,8744.2109375,22600204051,65.71761583088366,0
2020-01-23,8406.515625,8687.7470703125,8333.6376953125,8680.650390625,25770680779,56.212261809704025,1
2020-01-24,8445.4345703125,8514.6669921875,8266.8408203125,8405.5673828125,24397913026,57.158873310130865,0
2020-01-25,8367.84765625,8458.453125,8296.21875,8440.119140625,19647331549,54.623673092748724,1
2020-01-26,8596.830078125,8602.4013671875,8325.498046875,8364.41015625,22177678796,60.230046682004776,1
2020-01-27,8909.8193359375,8977.7265625,8597.30859375,8597.30859375,28647338393,66.3500193941654,1
2020-01-28,9358.58984375,9358.58984375,8908.447265625,8912.5244140625,34398744403,72.81062450283454,0
2020-01-29,9316.6298828125,9406.431640625,9269.4677734375,9357.470703125,30682598115,71.42972271241736,1
2020-01-30,9508.9931640625,9553.1259765625,9230.8974609375,9316.0166015625,32378792851,73.87586512931135,0
2020-01-31,9350.529296875,9521.7060546875,9230.7763671875,9508.3134765625,29432489719,68.66069773543504,1
2020-02-01,9392.875,9439.3232421875,9313.2392578125,9346.357421875,25922656496,69.2846972542664,0
2020-02-02,9344.365234375,9468.7978515625,9217.82421875,9389.8203125,30835736946,67.62359003396784,0
2020-02-03,9293.521484375,9540.3720703125,9248.6337890625,9344.68359375,30934096509,65.84180561743406,0
2020-02-04,9180.962890625,9331.265625,9112.8115234375,9292.841796875,29893183716,61.95022873536741,1
2020-02-05,9613.423828125,9701.2998046875,9163.7041015625,9183.416015625,35222060874,69.42701043687215,1
2020-02-06,9729.8017578125,9824.619140625,9539.818359375,9617.8212890625,37628823716,71.0742461931835,1
2020-02-07,9795.943359375,9834.716796875,9726.0029296875,9726.0029296875,34522718159,71.99766942032673,1
2020-02-08,9865.119140625,9876.7490234375,9678.91015625,9793.0703125,35172043762,72.96959434882368,1
2020-02-09,10116.673828125,10129.435546875,9850.392578125,9863.89453125,35807884663,76.20407239104546,0
2020-02-10,9856.611328125,10165.765625,9784.5634765625,10115.5595703125,39386548075,67.24538958689644,1
2020-02-11,10208.236328125,10210.052734375,9729.3349609375,9855.8916015625,37648059389,72.03280943642199,1
2020-02-12,10326.0546875,10393.611328125,10202.3876953125,10202.3876953125,43444303830,73.43392629967404,0
2020-02-13,10214.3798828125,10457.626953125,10116.1611328125,10323.9609375,49356071373,69.86128822593238,1
2020-02-14,10312.1162109375,10321.99609375,10125.5341796875,10211.55078125,43338264162,71.18267931289975,0
2020-02-15,9889.4248046875,10341.5556640625,9874.427734375,10313.8564453125,43865054831,59.11193740136407,1
2020-02-16,9934.43359375,10053.96875,9722.38671875,9889.1796875,43374780305,59.891858669928105,0
2020-02-17,9690.142578125,9938.8154296875,9507.6376953125,9936.560546875,45998298413,53.884134408289206,1
2020-02-18,10141.99609375,10161.935546875,9632.3828125,9691.23046875,47271023953,61.56402387260953,0
2020-02-19,9633.38671875,10191.67578125,9611.2236328125,10143.798828125,46992019710,51.223446679837856,0
2020-02-20,9608.4755859375,9643.216796875,9507.900390625,9629.3251953125,44925260237,50.77361537957439,1
2020-02-21,9686.44140625,9723.0146484375,9589.7431640625,9611.7822265625,40930547513,52.1887774549676,0
2020-02-22,9663.181640625,9698.2314453125,9600.728515625,9687.70703125,35838025154,51.71116207492158,1
2020-02-23,9924.515625,9937.404296875,9657.791015625,9663.318359375,41185185761,56.525244952203856,0
2020-02-24,9650.1748046875,9951.74609375,9537.04296875,9921.5830078125,45080496648,50.79981429078218,0
2020-02-25,9341.705078125,9652.7373046875,9305.021484375,9651.3125,42515259129,45.24985614171664,0
2020-02-26,8820.5224609375,9354.7783203125,8704.4267578125,9338.2900390625,50420050762,37.74634479591618,0
2020-02-27,8784.494140625,8932.892578125,8577.19921875,8825.09375,45470195695,37.286053737870226,0
2020-02-28,8672.455078125,8890.4560546875,8492.9326171875,8788.728515625,44605450443,35.82309889255835,0
2020-02-29,8599.5087890625,8775.6318359375,8599.5087890625,8671.212890625,35792392544,34.863964010987445,0
2020-03-01,8562.4541015625,8726.796875,8471.212890625,8599.7587890625,35349164300,34.3606916663157,1
2020-03-02,8869.669921875,8921.30859375,8532.630859375,8563.2646484375,42857674409,41.85488113615159,0
2020-03-03,8787.7861328125,8901.5986328125,8704.990234375,8865.3876953125,42386715821,40.52674843113444,0
2020-03-04,8755.24609375,8843.3662109375,8712.431640625,8788.5419921875,34746706368,39.98376834334827,1
2020-03-05,9078.7626953125,9142.0546875,8757.25390625,8760.28515625,39698054597,47.51309732436925,1
2020-03-06,9122.5458984375,9167.6953125,9032.0791015625,9078.30859375,40826885651,48.45556182925582,0
2020-03-07,8909.9541015625,9163.220703125,8890.744140625,9121.6005859375,36216930370,44.29639714296639,0
2020-03-08,8108.1162109375,8914.34375,8105.2529296875,8908.2060546875,39973102121,32.845038541098646,0
2020-03-09,7923.64453125,8177.79345703125,7690.09814453125,8111.146484375,46936995808,30.86795816957246,0
2020-03-10,7909.7294921875,8136.9453125,7814.76318359375,7922.14697265625,42213940994,30.717753508130585,1
2020-03-11,7911.43017578125,7950.814453125,7642.8125,7910.08984375,38682762605,30.76209835717664,0
2020-03-12,4970.7880859375,7929.1162109375,4860.35400390625,7913.6162109375,53980357243,14.034712582297487,1
2020-03-13,5563.70703125,5838.11474609375,4106.98095703125,5017.8310546875,74156772075,23.112980288540413,0
2020-03-14,5200.3662109375,5625.2265625,5125.0693359375,5573.07763671875,36154506008,21.607134205671343,1
2020-03-15,5392.31494140625,5836.64501953125,5169.283203125,5201.06689453125,33997889639,24.40901947863793,0
2020-03-16,5014.47998046875,5385.2294921875,4575.35791015625,5385.2294921875,45368026430,22.689892979600614,1
2020-03-17,5225.62939453125,5371.3486328125,4981.9091796875,5002.578125,38622642935,25.833565683513285,1
2020-03-18,5238.4384765625,5331.833984375,5069.3359375,5227.11376953125,37878801016,26.03006863376578,1
2020-03-19,6191.19287109375,6329.73583984375,5236.96875,5245.41650390625,51000731797,38.98034557581046,1
2020-03-20,6198.7783203125,6844.26171875,5865.78173828125,6191.65380859375,54442976103,39.07180473036829,0
2020-03-21,6185.06640625,6378.13525390625,5932.8232421875,6206.521484375,42494390880,38.9581318088075,0
2020-03-22,5830.2548828125,6359.697265625,5823.7138671875,6185.55810546875,40099664740,36.03653119402327,1
2020-03-23,6416.31494140625,6443.9345703125,5785.00439453125,5831.37451171875,46491916000,43.56490349210462,1
2020-03-24,6734.8037109375,6789.02294921875,6411.06640625,6436.642578125,48221910672,47.201752491949165,0
2020-03-25,6681.06298828125,6892.51123046875,6536.92626953125,6738.716796875,44590107888,46.655401182322606,1
2020-03-26,6716.4404296875,6735.4638671875,6590.962890625,6675.1708984375,35319797642,47.08957409410173,0
2020-03-27,6469.79833984375,6793.83642578125,6466.70166015625,6719.38916015625,34585598367,44.37774123394402,0
2020-03-28,6242.19384765625,6467.5009765625,6117.837890625,6467.25390625,34885225901,41.97541765619712,0
2020-03-29,5922.04296875,6250.46728515625,5920.0859375,6245.62451171875,28373690931,38.794211651600214,1
2020-03-30,6429.841796875,6517.19580078125,5903.234375,5925.53857421875,37101651525,45.8094439134826,1
2020-03-31,6438.64453125,6504.51513671875,6374.162109375,6430.6064453125,32786468812,45.92514980403841,1
2020-04-01,6606.7763671875,6612.57373046875,6202.37353515625,6437.3193359375,40346426266,48.200129762736964,1
